Medicine Name,Uses,
Amlovas 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Acenac-MR Tablet,Treatment of Muscular pain,
AF 150 Tablet DT,Treatment of Fungal infections,
Atorlip-F Tablet,Treatment of High cholesterolPrevention of Heart attack,
A-Ret 0.1% Gel,Treatment of Acne Acute promyelocytic leukaemia,
Apdrops PD Eye Drop,Treatment of Bacterial infections,
AB-Flo Capsule,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Amantrel Tablet,Treatment of Parkinson's disease,
Azithral XL 200 Liquid,Treatment of Bacterial infections,
Aquazide 12.5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,
A-Ret 0.05% Gel,Treatment of Acne Acute promyelocytic leukaemia,
Althrocin 250 Tablet,Treatment of Bacterial infections,
Alkasol Oral Solution Sugar Free,Treatment of GoutTreatment of Kidney stone,
Ajaduo 25mg/5mg Tablet,Treatment of Type 2 diabetes mellitus,
Aldosmin 1000mg Tablet, Varicose veins,
Allegra Nasal Spray,Treatment of Sneezing and runny nose due to allergies,
Advent Forte 457mg Syrup Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Andial 2mg Tablet, Diarrhea,
Alkof DX Syrup,Treatment of Dry cough,
Anafortan Syrup,Treatment of Abdominal pain,
Amlodac 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Acivir 800 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Amaryl 2mg Tablet,Treatment of Type 2 diabetes mellitus,
Alaspan AM Tablet, Cough,
Anabel Liquid Gel,Treatment of Mouth ulcers,
Air-M Tablet,Treatment of Sneezing and runny nose due to allergies,
Aziderm 10% Cream,Treatment of Acne,
Ace-Proxyvon CR Tablet, Pain relief,
Aten 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,
Asthalin 4 Tablet,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,
Azithral Eye Ointment,Treatment of Bacterial eye infections,
Aziwok 500 Tablet,Treatment of Bacterial infections,
Ambrolite-S Expectorant, Cough,
AB-Flo SR Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Ambrodil-Plus RF Syrup, Common cold,
Asomex 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,
Amlosafe 3D Tablet, Hypertension (high blood pressure),
Alkof Syrup,Treatment of Cough with mucus,
Angiplat 2.5 Capsule TR,Treatment of Angina (heart-related chest pain),
Aten 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,
Admenta 10 Tablet, Alzheimer's disease,
Aztor 40 Tablet, High cholesterolPrevention of Heart attack,
Alkof Junior Syrup,Treatment of Dry cough,
Azithral 100 Liquid,Treatment of Bacterial infections,
Azibact 500 Tablet,Treatment of Bacterial infections,
Amrox-LS Syrup,Treatment of Cough with mucus,
Abzorb Antifungal Soap,Treatment of Fungal skin infections,
Arip MT 5 Tablet, Schizophrenia Mania,
Axogurd-SR Tablet,Treatment of Neuropathic pain,
Alfusin Tablet PR,Treatment of Benign prostatic hyperplasia,
ATM 500 Tablet,Treatment of Bacterial infections,
Alerfix Total Tablet SR,Treatment of Respiratory tract disorders associated with viscid mucus,
Advent 625 Tablet,Treatment of Bacterial infections,
Amlovas-AT Tablet,Treatment of Hypertension (high blood pressure),
Aziderm 10% Gel,Treatment of Acne,
Avil 50mg Tablet,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,
Alivher Tablet,Treatment of Erectile dysfunction,
Anafortan Injection, Abdominal cramp,
Aprezo 30mg Tablet, Plaque psoriasis,
Acnesol Gel,Treatment of Bacterial infections,
Amlopres 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
A-Ret 0.025% Gel,Treatment of Acne Acute promyelocytic leukaemia,
Actibile 300 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,
Alex Syrup Sugar Free,Treatment of Dry cough,
Azee 100mg Dry Syrup Peppermint,Treatment of Bacterial infections,
Alex-L Cough Syrup Mango,Treatment of Dry cough,
Amtas 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Amoxyclav 375 Tablet,Treatment of Bacterial infections,
Arbitel-Trio 50 Tablet ER, Hypertension (high blood pressure),
Almox 250 Capsule,Treatment of Bacterial infections,
Amlopres TL Tablet,Treatment of Hypertension (high blood pressure),
Asthakind-P Drops,Treatment of Cough with mucus,
Aztor 20 Tablet, High cholesterolPrevention of Heart attack,
Azulix 1 MF Tablet PR,Treatment of Type 2 diabetes mellitus,
Aqualube Eye Drop,Treatment of Dry eyes,
Ambrolite Syrup,Treatment of Respiratory tract disorders associated with viscid mucus,
Aztor Asp 75 Capsule,Treatment of Prevention of heart attack and stroke,
Acuclav 625 Tablet,Treatment of Bacterial infections,
Ascoril SF Expectorant,Treatment of Cough with mucus,
Acutret 20 Capsule,Treatment of Acne,
Adalene Nanogel Gel,Treatment of Acne,
Anorelief Cream,Treatment of Anal fissure,
Atorfit CV 10 Capsule, Heart attack prevention and high cholesterol,
Allercet Cold Tablet,Treatment of Common cold,
AD 100mg Capsule,Treatment of Diarrhea,
Actrapid HM 100IU/ml Penfill, Diabetes,
Arpizol 5 Tablet, Schizophrenia Mania,
Alkacip Syrup 100ml for Kidney &amp; Gout Stone,Treatment of GoutTreatment of Kidney stone,
Azulix 2 MF Tablet PR,Treatment of Type 2 diabetes mellitus,
Azilide 500 Tablet,Treatment of Bacterial infections,
Atorlip 10 Tablet, High cholesterolPrevention of Heart attack,
Augpen LB 625 Tablet, Bacterial infections,
Aceclo Sera 100mg/325mg/15mg Tablet, Pain relief,
Amaryl MV 2mg Tablet SR,Treatment of Type 2 diabetes mellitus,
Acivir 200 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Amlip AT Tablet,Treatment of Hypertension (high blood pressure),
Axcer  90mg Tablet, Prevention of heart attack and stroke,
Acitrom 3 Tablet,Treatment and prevention of Blood clots,
Avas 10 Tablet, High cholesterolPrevention of Heart attack,
Air 180 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Arcalion Tablet, Fatigue Alzheimer's disease,
Apigat 2.5 Tablet,Treatment and prevention of Blood clots,
Aquasurge  Eye Drop,Treatment of Dry eyes,
Aceclo Spas Tablet,Treatment of Abdominal pain,
Apdrops KT 0.4 Eye Drops BAK Free,Treatment of Bacterial eye infections,
Aciloc Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Arcolane 2% Scalp Solution, Fungal skin infections,
Amnurite  10 Tablet SR, Neuropathic pain,
Augpen -DS Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Asthalin Respirator Solution,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,
Atchol-F Tablet,Treatment of High cholesterolPrevention of Heart attack,
Asthalin AX Syrup,Treatment of Cough with mucus,
Alensol-D Tablet, Osteoporosis,
Atorva 80 Tablet, High cholesterolPrevention of Heart attack,
Artificial Tears BP Eye Drop, Dry eyes,
Alciflox 500mg Tablet,Treatment of Bacterial infections,
Amitop 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,
Atonide Gel, Skin conditions with inflammation & itching,
Ambrodil-D Syrup,Treatment of Dry cough,
Allercet Tablet,Treatment of Allergic conditions,
Apidra 100IU Cartridge, Diabetes,
Aquim PF Eye Drop,Treatment of Dry eyes,
Andre Plus Eye Drops,Treatment of Allergic eye disease,
Acamprol Tablet, Alcohol addiction,
Amitryn 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,
Acnesol A Nano Gel,Treatment of Acne,
Acular LS Ophthalmic Solution, Post-operative eye pain and inflammation,
Acupat Ophthalmic Solution,Treatment of Allergic conjunctivitis,
Adilip 135 Tablet DR, High cholesterol,
Augpen 625 BID Tablet,Treatment of Bacterial infections,
Allercet-M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,
Arip MT 2 Tablet, Schizophrenia Mania,
Aztolet  20 Tablet, Heart attack prevention and high cholesterol,
Acceclowoc-P Tablet, Pain relief,
Ascoril Plus Expectorant,Treatment of Cough,
Amaryl MV 1mg Tablet SR,Treatment of Type 2 diabetes mellitus,
Alfusin D Tablet ER,Treatment of Benign prostatic hyperplasia,
Altraz Tablet, Breast cancer,
Acivir Cream, Herpes labialis,
Atropine 1% Eye Drop,Treatment of MyopiaTreatment of Uveitis,
Aquaviron Injection 1ml,Treatment of Male hypogonadism,
Acera-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Atormac CV10 Capsule, Heart attack prevention and high cholesterol,
Alphadol 0.25mcg Capsule,Treatment of Vitamin D deficiency,
Ajaduo 10mg/5mg Tablet,Treatment of Type 2 diabetes mellitus,
Apdrops DM Eye Drop,Treatment of Bacterial eye infections,
Arbitel-Trio 25 Tablet ER, Hypertension (high blood pressure),
Amicline Plus Tablet, Diarrhea Dysentery,
Amlokind-L Tablet, Hypertension (high blood pressure),
Amrolstar Nail Lacquer, Fungal nail infections,
Amnurite  5 mg/1500 mcg Tablet, Neuropathic pain,
Acuvert Tablet,Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,
Ambrodil Drop,Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus,
Azmarda 100mg Tablet,Treatment of Heart failure,
Alzil-M 5 Tablet, Alzheimer's disease,
Amicon 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,
Asomex 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,
Althrocin Liquid,Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections,
Albucel 20% Infusion, Short term fluid replacement after trauma,
Apigat 5 Tablet,Treatment and prevention of Blood clots,
Amlong 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Anxiset 0.5 Tablet, Schizophrenia Depression Bipolar disorder,
All 9 NVP Tablet, Nausea and vomiting in pregnancy,
Angiwell 2.6mg Tablet,Treatment of Angina (heart-related chest pain),
Almefkem Spas 10mg/250mg Tablet,Treatment of Menstrual painTreatment of Abdominal cramp,
Azax 250 Tablet,Treatment of Bacterial infections,
Amlong-A Tablet,Treatment of Hypertension (high blood pressure),
Aceclo Tablet, Pain relief,
Acimol Forte 100mg/325mg/15mg Tablet, Pain relief,
Acitrom 4 Tablet,Treatment and prevention of Blood clots,
Aprecap 125/80 Capsule, Nausea and vomiting due to chemotherapy,
Anasure 5% Solution,Treatment of Hair loss,
Adaple-C Gel,Treatment of Acne,
Akilos-P Tablet, Pain relief,
Azopt Opthalmic Suspension, Glaucoma Ocular hypertension,
Amrolstar Cream, Fungal nail infections,
Anosum Cream,Treatment of Anal fissure,
AF 200 Tablet,Treatment of Fungal infections,
Amlong 10 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Azee XL 200mg Dry Syrup Peppermint,Treatment of Bacterial infections,
Acenext P 100mg/325mg Tablet, Pain relief,
Amlopin 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Amlogard 5mg Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Arpizol 10 Tablet, Schizophrenia Mania,
Azibact LR 100 Readymix,Treatment of Bacterial infections,
Amicline Tablet, Worm infections Intestinal amoebiasis,
Arpizol 2mg Tablet, Schizophrenia Mania,
Acutret 10 Capsule,Treatment of Acne,
Amaryl M Forte 2mg Tablet PR,Treatment of Type 2 diabetes mellitus,
Ampilox DS Tablet,Treatment of Bacterial infections,
Alzil 5 Tablet, Alzheimer's disease,
Azoran 25 Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,
Angicam-Beta Tablet,Treatment of Hypertension (high blood pressure),
Altonil 5 Tablet MD,Treatment of InsomniaTreatment of Jet lag,
Abd 400mg Tablet,Treatment of Parasitic infections,
Amlosafe TM 40 Tablet,Treatment of Hypertension (high blood pressure),
Anxipan Capsule, Acidity Heartburn Anxiety,
Amtas-AT Tablet,Treatment of Hypertension (high blood pressure),
Azimax 500 Tablet,Treatment of Bacterial infections,
Aztogold 20 Capsule,Prevention of Heart attack,
Aldactone 100 Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,
Amitone 25mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,
Acimol-SP Tablet, Pain relief,
Afdura Tablet ER,Treatment of Benign prostatic hyperplasia,
Aceclo SR Tablet, Pain relief,
Acrotac 25mg Capsule, Psoriasis,
Air 120 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Alight Plus Gel 15gm for Acne Treatment,Treatment of Acne,
Asthakind-DX Syrup Sugar Free,Treatment of Dry cough,
Avas CV 10 Capsule, Heart attack prevention and high cholesterol,
AB Phylline Syrup,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Amlokind-H Tablet, Hypertension (high blood pressure),
Amtas-M 50 Tablet PR,Treatment of Hypertension (high blood pressure),
Aclind BP 2.5% Gel, Acne,
Aprezo 10 Tablet, Plaque psoriasis,
Arbitel-AM Tablet,Treatment of Hypertension (high blood pressure),
Anabel-CT Gel,Treatment of Mouth ulcers,
Anafortan-MF 50mg/250mg Tablet, Abdominal cramp,
Acnedap Gel, Acne,
Aziderm 20% Gel,Treatment of Acne,
Asthakind-LS Junior Expectorant,Treatment of Cough with mucus,
Atonide Cream, Skin conditions with inflammation & itching,
Ampoxin 250 Capsule,Treatment of Bacterial infections,
Ascoril Flu Drops,Treatment of Common cold,
Aerodil  Expectorant,Treatment of Cough with mucus,
Alevo 500 Tablet,Treatment of Bacterial infections,
Amaryl M Forte 1mg Tablet PR,Treatment of Type 2 diabetes mellitus,
Acimol MR 100mg/325mg/250mg Tablet,Treatment of Muscular pain,
Anfoe 10000IU Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,
Acnovate Gel,Treatment of Acne,
Alcarex Eye Drop, Allergic eye disease,
Alex-L Cough Syrup Mango Sugar Free,Treatment of Dry cough,
Azifast 500 Tablet,Treatment of Bacterial infections,
Azivent 500 Tablet,Treatment of Bacterial infections,
Amlong-H Tablet, Hypertension (high blood pressure),
Ambrolite Levo Syrup,Treatment of Cough with mucus,
Anaflam TH  4  Tablet,Treatment of Muscular pain,
Alex P Syrup, Common cold,
Amlopres AT 25 Tablet,Treatment of Hypertension (high blood pressure),
AB-Next Gel, Acne,
Airz Capsule, Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease,
Amrox Syrup,Treatment of Cough with mucus,
Alkasol Oral Solution Sugar Free,Treatment of GoutTreatment of Kidney stone,
Atchol-ASP Capsule,Treatment of Prevention of heart attack and stroke,
Amlovas-M 5/50 Tablet PR,Treatment of Hypertension (high blood pressure),
Atchol 40 Tablet, High cholesterolPrevention of Heart attack,
Arflur 3D Tablet, Pain relief,
Aerocort Forte Rotacap, Asthma,
Aginal-AT Tablet,Treatment of Hypertension (high blood pressure),
Azibact 200 Readymix Oral Suspension,Treatment of Bacterial infections,
Asprito 2 Tablet, Schizophrenia Mania,
Altacef 500 Tablet,Treatment of Bacterial infections,
Airz-FF Capsule, General Anaesthesia Peptic ulcer disease,
Advent 228.5mg Dry Syrup Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Azithral-XL 100 Liquid,Treatment of Bacterial infections,
Amlong MT 50 Tablet PR,Treatment of Hypertension (high blood pressure),
Actrapid 100 IU/ml Flexpen, Diabetes,
Acamptas 333 Tablet, Alcohol addiction,
Acinil-O Oral Suspension, Acidity Heartburn Stomach ulcers,
AF-K Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,
Anafortan Drop, Abdominal cramp,
Anti-Thyrox 10 Tablet, Hyperthyroidism,
Amyclox-LB Capsule, Bacterial infections,
Alphagan Z Ophthalmic Solution,Treatment of Glaucoma,
Azithral Eye Drop,Treatment of Bacterial eye infections,
Addphos Granules,Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism,
Azulix 1 Tablet,Treatment of Type 2 diabetes mellitus,
Aricep 23 SR Tablet, Alzheimer's disease,
Aceloflam Plus Tablet, Pain relief,
Amantex Tablet,Treatment of Parkinson's disease,
Altonil 5mg Tablet,Treatment of InsomniaTreatment of Jet lag,
AZR Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,
Aquazide 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,
Asthalin Plus Expectorant,Treatment of Cough with mucus,
Axalin  Expectorant, Cough,
Aquasurge  Max Eye Drop,Treatment of Dry eyes,
Ambrodil-LX Drop,Acute Sore throatTreatment of Cough with mucus,
Aldonil Tablet, Diabetic nerve pain,
Alcros 100 Capsule,Treatment of Fungal infections,
Aspisol 75 Tablet, Prevention of heart attack and stroke,
Advent 228.5mg Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,
Atorfit CV 20 Capsule, Heart attack prevention and high cholesterol,
Atchol 20 Tablet, High cholesterolPrevention of Heart attack,
Anafortan N 100 mg/50 mg Tablet,Treatment of Abdominal cramp,
Amlovas H  Tablet, Hypertension (high blood pressure),
Axogurd NT Tablet SR,Treatment of Neuropathic pain,
Azulix 2 MF Forte Tablet PR,Treatment of Type 2 diabetes mellitus,
Aztor 80 Tablet, High cholesterolPrevention of Heart attack,
Abel 40 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,
Ambrolite 2S Expectorant, Cough,
Amlodac 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Amlokind 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
ATM 200 Oral Suspension,Treatment of Bacterial infections,
Actibile 150 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,
Atorlip 20 Tablet, High cholesterolPrevention of Heart attack,
Aristogyl 400 Tablet,Treatment of Bacterial infectionsTreatment of Parasitic infections,
Aplazar Tablet,Treatment of Chronic kidney disease,
Avas 40 Tablet, High cholesterolPrevention of Heart attack,
Acemyoset Tablet SR, Pain due to muscle spasm,
Amiject 500mg Injection, Bacterial infections,
Amplinak Ophthalmic Suspension,Treatment of Post-operative eye pain and inflammation,
Aziderm 15% Gel,Treatment of Acne,
Acnetor AD Gel,Treatment of Acne,
Acotibien 100mg Tablet,Treatment of Functional dyspepsia,
Arflur-P Tablet, Pain relief,
Alfakit Tablet,Treatment of Chronic kidney disease,
Atocor-F Tablet,Treatment of High cholesterolPrevention of Heart attack,
Amrosys Cream, Fungal nail infections,
AD 10mg Sachet,Treatment of Diarrhea,
Aldonil OD Tablet, Diabetic nerve pain,
Anthocyn-TX Tablet,Treatment of Melasma,
Alcoliv Tablet, Alcoholic fatty liver disease,
Acenac Tablet, Pain relief,
Acetik Ear Drop, Ear infection,
Advent 91.4mg Drops Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Acnelak-CLZ Cream,Treatment of Acne,
ATM 100 Oral Suspension,Treatment of Bacterial infections,
Aprezo 20 Tablet, Plaque psoriasis,
Arbitel-MT 50 Tablet ER,Treatment of Hypertension (high blood pressure),
Ascovent -SR Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Azulix 3 MF Tablet PR,Treatment of Type 2 diabetes mellitus,
Actoid 25mg Capsule, Psoriasis,
Atorva 5 Tablet, High cholesterolPrevention of Heart attack,
